invoice_id,invoice_record_index,decision,known_violation,reasons
INV-H4-000002,2,review,False,bundle_eligibility_uncertain|expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved
INV-H4-000003,3,erroneous,True,contract_quantity_unknown_due_to_unit_mismatch|delivered_quantity_or_duplicate_identity_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review
INV-H4-000006,6,erroneous,True,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved
INV-H4-000007,7,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved
INV-H4-000008,8,erroneous,True,expected_total_unknown|invalid_date_payability_requires_review|retention_or_payable_quantity_requires_review
INV-H4-000012,12,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved
INV-H4-000018,18,erroneous,True,expected_total_unknown|hospital_4_duplicate_correction_unspecified
INV-H4-000020,20,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved
INV-H4-000023,23,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved
INV-H4-000027,27,review,False,expected_total_unknown|service_match_unresolved
INV-H4-000031,31,review,False,bundle_eligibility_uncertain|delivered_quantity_or_duplicate_identity_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review|service_match_unresolved
INV-H4-000032,32,review,False,expected_total_unknown|service_match_unresolved
INV-H4-000036,36,review,False,expected_total_unknown|service_match_unresolved
INV-H4-000042,42,review,False,expected_total_unknown|service_match_unresolved
INV-H4-000047,47,review,False,expected_total_unknown|service_match_unresolved
INV-H4-000048,48,review,False,bundle_eligibility_uncertain|expected_total_unknown|service_match_unresolved
INV-H4-000051,51,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000052,52,review,False,expected_total_unknown|service_match_unresolved
INV-H4-000053,53,erroneous,True,bundle_eligibility_uncertain|contract_quantity_unknown_due_to_unit_mismatch|delivered_quantity_or_duplicate_identity_uncertain|exclusion_presence_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review|service_match_unresolved|volume_discount_uncertain
INV-H4-000056,56,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000057,57,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000058,58,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000060,60,review,False,expected_total_unknown|service_match_unresolved
INV-H4-000062,62,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved
INV-H4-000063,63,review,False,bundle_eligibility_uncertain|exclusion_presence_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review|service_match_unresolved
INV-H4-000064,64,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000066,66,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved
INV-H4-000067,67,review,False,exclusion_presence_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review|volume_discount_uncertain
