invoice_id,invoice_record_index,decision,known_violation,reasons,hospital_id
INV-H2-000005,5,review,False,bundle_eligibility_uncertain|expected_total_unknown|service_match_unresolved,H2
INV-H2-000006,6,review,False,expected_total_unknown|service_match_unresolved,H2
INV-H2-000007,7,erroneous,True,contract_quantity_unknown_due_to_unit_mismatch|delivered_quantity_or_duplicate_identity_uncertain|duplicate_correction_not_approved_for_hospital|expected_total_unknown|invalid_date_payability_requires_review|retention_or_payable_quantity_requires_review,H2
INV-H2-000013,13,erroneous,True,expected_total_unknown|invalid_date_payability_requires_review|retention_or_payable_quantity_requires_review,H2
INV-H2-000018,18,review,False,expected_total_unknown|service_match_unresolved,H2
INV-H2-000021,21,review,False,bundle_eligibility_uncertain|expected_total_unknown|service_match_unresolved,H2
INV-H2-000022,22,review,False,expected_total_unknown|service_match_unresolved,H2
INV-H2-000025,25,review,False,expected_total_unknown|service_match_unresolved,H2
INV-H2-000028,28,review,False,expected_total_unknown|service_match_unresolved,H2
INV-H2-000032,32,review,False,delivered_quantity_or_duplicate_identity_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review|service_match_unresolved,H2
INV-H2-000035,35,review,False,expected_total_unknown|volume_discount_uncertain,H2
INV-H2-000038,38,review,False,contractual_dual_unit_unresolved|expected_total_unknown|service_match_unresolved,H2
INV-H2-000040,40,review,False,contractual_dual_unit_unresolved|expected_total_unknown|service_match_unresolved,H2
INV-H2-000041,41,review,False,expected_total_unknown|service_match_unresolved,H2
INV-H2-000042,42,review,False,bundle_eligibility_uncertain|contractual_dual_unit_unresolved|expected_total_unknown|service_match_unresolved,H2
INV-H2-000043,43,review,False,expected_total_unknown|volume_discount_uncertain,H2
INV-H2-000044,44,review,False,expected_total_unknown|volume_discount_uncertain,H2
INV-H2-000045,45,erroneous,True,expected_total_unknown|service_match_unresolved|volume_discount_uncertain,H2
INV-H2-000046,46,review,False,contractual_dual_unit_unresolved|expected_total_unknown|service_match_unresolved|volume_discount_uncertain,H2
INV-H2-000047,47,review,False,contractual_dual_unit_unresolved|exclusion_presence_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review|service_match_unresolved,H2
INV-H2-000048,48,review,False,exclusion_presence_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review,H2
INV-H2-000051,51,review,False,delivered_quantity_or_duplicate_identity_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review|service_match_unresolved,H2
INV-H2-000052,52,review,False,expected_total_unknown|volume_discount_uncertain,H2
INV-H2-000053,53,review,False,contractual_dual_unit_unresolved|delivered_quantity_or_duplicate_identity_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review|service_match_unresolved,H2
INV-H2-000054,54,erroneous,True,delivered_quantity_or_duplicate_identity_uncertain|exclusion_presence_uncertain|expected_total_unknown|invalid_date_payability_requires_review|invoice_identifier_join_ambiguous|missing_or_ambiguous_invoice_join|missing_patient_context|nonunique_invoice_id|premium_eligibility_uncertain|retention_or_payable_quantity_requires_review|volume_discount_uncertain,H2
INV-H2-000054,98,erroneous,True,delivered_quantity_or_duplicate_identity_uncertain|exclusion_presence_uncertain|expected_total_unknown|invalid_date_payability_requires_review|invoice_identifier_join_ambiguous|missing_or_ambiguous_invoice_join|missing_patient_context|nonunique_invoice_id|premium_eligibility_uncertain|retention_or_payable_quantity_requires_review|volume_discount_uncertain,H2
INV-H2-000055,55,review,False,delivered_quantity_or_duplicate_identity_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review|service_match_unresolved|volume_discount_uncertain,H2
INV-H2-000056,56,review,False,delivered_quantity_or_duplicate_identity_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review,H2
INV-H2-000057,57,review,False,expected_total_unknown|volume_discount_uncertain,H2
INV-H2-000058,58,review,False,bundle_eligibility_uncertain|delivered_quantity_or_duplicate_identity_uncertain|exclusion_presence_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review|service_match_unresolved|volume_discount_uncertain,H2
INV-H2-000060,60,review,False,expected_total_unknown|volume_discount_uncertain,H2
INV-H2-000061,61,review,False,expected_total_unknown|volume_discount_uncertain,H2
INV-H2-000062,62,review,False,delivered_quantity_or_duplicate_identity_uncertain|exclusion_presence_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review|service_match_unresolved|volume_discount_uncertain,H2
INV-H2-000063,63,review,False,expected_total_unknown|service_match_unresolved|volume_discount_uncertain,H2
INV-H2-000064,64,review,False,expected_total_unknown|volume_discount_uncertain,H2
INV-H2-000066,66,review,False,expected_total_unknown|volume_discount_uncertain,H2
INV-H2-000067,67,review,False,bundle_eligibility_uncertain|expected_total_unknown|service_match_unresolved,H2
INV-H2-000068,68,review,False,expected_total_unknown|volume_discount_uncertain,H2
INV-H2-000070,70,review,False,expected_total_unknown|volume_discount_uncertain,H2
INV-H2-000071,71,review,False,contractual_dual_unit_unresolved|expected_total_unknown|service_match_unresolved|volume_discount_uncertain,H2
INV-H2-000072,72,review,False,delivered_quantity_or_duplicate_identity_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review|service_match_unresolved,H2
INV-H2-000073,73,review,False,contractual_dual_unit_unresolved|expected_total_unknown|service_match_unresolved|volume_discount_uncertain,H2
INV-H2-000074,74,review,False,contractual_dual_unit_unresolved|expected_total_unknown|service_match_unresolved|volume_discount_uncertain,H2
INV-H2-000075,75,review,False,expected_total_unknown|volume_discount_uncertain,H2
INV-H2-000076,76,review,False,expected_total_unknown|service_match_unresolved|volume_discount_uncertain,H2
INV-H2-000077,77,review,False,delivered_quantity_or_duplicate_identity_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review|volume_discount_uncertain,H2
INV-H2-000078,78,erroneous,True,delivered_quantity_or_duplicate_identity_uncertain|expected_total_unknown|invalid_date_payability_requires_review|invoice_identifier_join_ambiguous|missing_or_ambiguous_invoice_join|missing_patient_context|nonunique_invoice_id|premium_eligibility_uncertain|retention_or_payable_quantity_requires_review|service_match_unresolved|volume_discount_uncertain,H2
INV-H2-000078,572,erroneous,True,delivered_quantity_or_duplicate_identity_uncertain|expected_total_unknown|invalid_date_payability_requires_review|invoice_identifier_join_ambiguous|missing_or_ambiguous_invoice_join|missing_patient_context|nonunique_invoice_id|premium_eligibility_uncertain|retention_or_payable_quantity_requires_review|service_match_unresolved|volume_discount_uncertain,H2
INV-H2-000080,80,review,False,expected_total_unknown|volume_discount_uncertain,H2
INV-H2-000081,81,review,False,contractual_dual_unit_unresolved|expected_total_unknown|service_match_unresolved|volume_discount_uncertain,H2
INV-H2-000082,82,review,False,contractual_dual_unit_unresolved|expected_total_unknown|service_match_unresolved|volume_discount_uncertain,H2
INV-H2-000083,83,review,False,expected_total_unknown|service_match_unresolved|volume_discount_uncertain,H2
INV-H2-000084,84,review,False,expected_total_unknown|volume_discount_uncertain,H2
INV-H2-000085,85,review,False,expected_total_unknown|volume_discount_uncertain,H2
INV-H2-000086,86,review,False,expected_total_unknown|volume_discount_uncertain,H2
INV-H2-000087,87,review,False,expected_total_unknown|volume_discount_uncertain,H2
INV-H2-000088,88,review,False,delivered_quantity_or_duplicate_identity_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review|volume_discount_uncertain,H2
INV-H2-000089,89,review,False,expected_total_unknown|volume_discount_uncertain,H2
INV-H2-000090,90,review,False,expected_total_unknown|service_match_unresolved|volume_discount_uncertain,H2
INV-H2-000092,92,review,False,expected_total_unknown|volume_discount_uncertain,H2
INV-H2-000093,93,review,False,expected_total_unknown|volume_discount_uncertain,H2
INV-H2-000094,94,review,False,contractual_dual_unit_unresolved|expected_total_unknown|service_match_unresolved|volume_discount_uncertain,H2
INV-H2-000095,95,review,False,contractual_dual_unit_unresolved|expected_total_unknown|service_match_unresolved|volume_discount_uncertain,H2
INV-H2-000096,96,review,False,expected_total_unknown|volume_discount_uncertain,H2
INV-H2-000099,99,review,False,expected_total_unknown|volume_discount_uncertain,H2
INV-H2-000100,100,review,False,expected_total_unknown|volume_discount_uncertain,H2
INV-H2-000101,101,review,False,delivered_quantity_or_duplicate_identity_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review|volume_discount_uncertain,H2
INV-H2-000103,103,review,False,expected_total_unknown|service_match_unresolved|volume_discount_uncertain,H2
INV-H2-000104,104,erroneous,True,bundle_eligibility_uncertain|delivered_quantity_or_duplicate_identity_uncertain|exclusion_presence_uncertain|expected_total_unknown|invalid_date_payability_requires_review|invoice_identifier_join_ambiguous|missing_or_ambiguous_invoice_join|missing_patient_context|nonunique_invoice_id|premium_eligibility_uncertain|retention_or_payable_quantity_requires_review|service_match_unresolved,H2
INV-H2-000104,497,erroneous,True,bundle_eligibility_uncertain|delivered_quantity_or_duplicate_identity_uncertain|exclusion_presence_uncertain|expected_total_unknown|invalid_date_payability_requires_review|invoice_identifier_join_ambiguous|missing_or_ambiguous_invoice_join|missing_patient_context|nonunique_invoice_id|premium_eligibility_uncertain|retention_or_payable_quantity_requires_review|service_match_unresolved,H2
INV-H2-000105,105,review,False,bundle_eligibility_uncertain|contractual_dual_unit_unresolved|delivered_quantity_or_duplicate_identity_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review|service_match_unresolved|volume_discount_uncertain,H2
INV-H2-000106,106,review,False,expected_total_unknown|service_match_unresolved,H2
INV-H2-000107,107,review,False,expected_total_unknown|service_match_unresolved|volume_discount_uncertain,H2
INV-H2-000108,108,review,False,duplicate_correction_not_approved_for_hospital|expected_total_unknown|volume_discount_uncertain,H2
INV-H2-000109,109,review,False,contractual_dual_unit_unresolved|expected_total_unknown|service_match_unresolved|volume_discount_uncertain,H2
INV-H2-000110,110,review,False,contractual_dual_unit_unresolved|expected_total_unknown|service_match_unresolved|volume_discount_uncertain,H2
INV-H2-000111,111,review,False,expected_total_unknown|volume_discount_uncertain,H2
INV-H2-000112,112,review,False,expected_total_unknown|volume_discount_uncertain,H2
INV-H2-000113,113,review,False,expected_total_unknown|volume_discount_uncertain,H2
INV-H2-000114,114,review,False,duplicate_correction_not_approved_for_hospital|expected_total_unknown|volume_discount_uncertain,H2
INV-H2-000115,115,review,False,expected_total_unknown|volume_discount_uncertain,H2
INV-H2-000116,116,review,False,expected_total_unknown|volume_discount_uncertain,H2
INV-H2-000117,117,review,False,expected_total_unknown|service_match_unresolved|volume_discount_uncertain,H2
INV-H2-000118,118,review,False,contractual_dual_unit_unresolved|expected_total_unknown|service_match_unresolved,H2
INV-H2-000119,119,review,False,expected_total_unknown|volume_discount_uncertain,H2
INV-H2-000121,121,review,False,expected_total_unknown|service_match_unresolved,H2
INV-H2-000122,122,review,False,expected_total_unknown|volume_discount_uncertain,H2
INV-H2-000123,123,review,False,expected_total_unknown|service_match_unresolved,H2
INV-H2-000124,124,review,False,expected_total_unknown|volume_discount_uncertain,H2
INV-H2-000125,125,review,False,delivered_quantity_or_duplicate_identity_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review|service_match_unresolved|volume_discount_uncertain,H2
INV-H2-000127,127,review,False,expected_total_unknown|volume_discount_uncertain,H2
INV-H2-000128,128,review,False,expected_total_unknown|volume_discount_uncertain,H2
INV-H2-000129,129,review,False,expected_total_unknown|volume_discount_uncertain,H2
INV-H2-000130,130,review,False,expected_total_unknown|service_match_unresolved,H2
INV-H2-000131,131,review,False,contractual_dual_unit_unresolved|expected_total_unknown|service_match_unresolved,H2
INV-H2-000132,132,review,False,expected_total_unknown|volume_discount_uncertain,H2
INV-H2-000134,134,review,False,expected_total_unknown|volume_discount_uncertain,H2
INV-H2-000136,136,review,False,contractual_dual_unit_unresolved|expected_total_unknown|service_match_unresolved|volume_discount_uncertain,H2
