invoice_id,invoice_record_index,evaluation_split,decision,known_violation,requires_review,expected_total_cents,billed_total_cents,violations,uncertainty
INV-H1-000001,1,held_aside,review,False,True,,2475525,,service_match_unresolved
INV-H1-000002,2,development,erroneous,True,True,,2588836,service_date,invalid_date_payability_requires_review|retention_or_payable_quantity_requires_review
INV-H1-000003,3,development,review,False,True,,5777580,,service_match_unresolved
INV-H1-000004,4,development,erroneous,True,False,924200,1260398,invoice_amount|line_amount|unit_price,
INV-H1-000005,5,development,correct,False,False,573375,573375,,
INV-H1-000006,6,development,correct,False,False,1746150,1746150,,
INV-H1-000007,7,development,correct,False,False,2958400,2958400,,
INV-H1-000008,8,held_aside,correct,False,False,798790,798790,,
INV-H1-000009,9,development,correct,False,False,2637550,2637550,,
INV-H1-000010,10,development,correct,False,False,2276950,2276950,,
INV-H1-000011,11,development,correct,False,False,2533435,2533435,,
INV-H1-000012,12,development,review,False,True,,901100,,service_match_unresolved
INV-H1-000013,13,development,review,False,True,,5857340,,service_match_unresolved
INV-H1-000014,14,held_aside,correct,False,False,1635750,1635750,,
INV-H1-000015,15,held_aside,erroneous,True,False,1210600,1284475,daily_cap|invoice_amount|line_amount,
INV-H1-000016,16,development,correct,False,False,1468550,1468550,,
INV-H1-000017,17,held_aside,correct,False,False,2482025,2482025,,
INV-H1-000018,18,development,correct,False,False,3884375,3884375,,
INV-H1-000019,19,development,correct,False,False,4591275,4591275,,
INV-H1-000020,20,development,correct,False,False,3303760,3303760,,
INV-H1-000021,21,development,review,False,True,,3327025,,service_match_unresolved
INV-H1-000022,22,held_aside,correct,False,False,1347525,1347525,,
INV-H1-000023,23,development,correct,False,False,2197875,2197875,,
INV-H1-000024,24,held_aside,correct,False,False,1939625,1939625,,
INV-H1-000025,25,held_aside,review,False,True,,2658350,,service_match_unresolved
INV-H1-000026,26,development,correct,False,False,1030950,1030950,,
INV-H1-000027,27,development,correct,False,False,1326550,1326550,,
INV-H1-000028,28,held_aside,correct,False,False,3658525,3658525,,
INV-H1-000029,29,development,correct,False,False,2568375,2568375,,
INV-H1-000030,30,development,correct,False,False,651525,651525,,
INV-H1-000031,31,development,review,False,True,,4818309,,service_match_unresolved
INV-H1-000032,32,held_aside,review,False,True,,5775993,,service_match_unresolved
INV-H1-000033,33,development,review,False,True,,4719600,,service_match_unresolved
INV-H1-000034,34,development,correct,False,False,3784280,3784280,,
INV-H1-000035,35,held_aside,correct,False,False,2663790,2663790,,
INV-H1-000036,36,development,erroneous,True,True,,2836375,service_date,delivered_quantity_or_duplicate_identity_uncertain|exclusion_presence_uncertain|invalid_date_payability_requires_review|retention_or_payable_quantity_requires_review|service_match_unresolved|volume_discount_uncertain
INV-H1-000037,37,development,review,False,True,,2519775,,volume_discount_uncertain
INV-H1-000038,38,held_aside,review,False,True,,5555200,,volume_discount_uncertain
INV-H1-000039,39,held_aside,review,False,True,,1526450,,service_match_unresolved
INV-H1-000040,40,development,correct,False,False,2436525,2436525,,
INV-H1-000041,41,held_aside,review,False,True,,1860775,,volume_discount_uncertain
INV-H1-000042,42,development,review,False,True,,5287775,,volume_discount_uncertain
INV-H1-000043,43,development,review,False,True,,3035675,,exclusion_presence_uncertain|retention_or_payable_quantity_requires_review|volume_discount_uncertain
INV-H1-000044,44,development,review,False,True,,2903025,,volume_discount_uncertain
INV-H1-000045,45,held_aside,review,False,True,,3413000,,exclusion_presence_uncertain|retention_or_payable_quantity_requires_review|volume_discount_uncertain
INV-H1-000046,46,development,review,False,True,,2468085,,volume_discount_uncertain
INV-H1-000047,47,development,correct,False,False,716400,716400,,
INV-H1-000048,48,held_aside,review,False,True,,1133650,,service_match_unresolved
INV-H1-000049,49,development,erroneous,True,True,,2866210,daily_cap|line_amount|unit_price,service_match_unresolved|volume_discount_uncertain
INV-H1-000050,50,development,review,False,True,,3415025,,volume_discount_uncertain
